Rank of % em relação a população geral;MUNICÍPIO;PRIMEIRA DOSE;POPULAÇÃO MUNICÍPIO 2020;% em relação a população geral
96;CRUZALIA;2045;1851.0;1,1048
97;GALIA;6436;5828.0;1,1043
98;GUARANI D'OESTE;1980;1794.0;1,1037
99;SAO LUIZ DO PARAITINGA;10727;9743.0;1,101
100;QUADRA;3707;3370.0;1,1
101;TRABIJU;1698;1544.0;1,0997
102;ECHAPORA;6034;5489.0;1,0993
103;BARAO DE ANTONINA;3487;3172.0;1,0993
104;ILHABELA;37291;33962.0;1,098
105;GUARAREMA;30988;28226.0;1,0979
106;HOLAMBRA;15437;14070.0;1,0972
107;CABRALIA PAULISTA;4147;3780.0;1,0971
108;SANTO ANTONIO DO JARDIM;5811;5303.0;1,0958
109;VITORIA BRASIL;1791;1636.0;1,0947
110;CANANEIA;12348;11287.0;1,094
111;JUMIRIM;3387;3099.0;1,0929
112;CANDIDO RODRIGUES;2785;2550.0;1,0922
113;BASTOS;21140;19358.0;1,0921
114;GUAPIARA;17115;15673.0;1,092
115;PERUIBE;73017;66882.0;1,0917
116;SAO JOAO DE IRACEMA;1818;1666.0;1,0912
117;ESTRELA DO NORTE;2657;2437.0;1,0903
118;SANTA CRUZ DA ESPERANCA;2046;1879.0;1,0889
119;PAULICEIA;7375;6776.0;1,0884
120;RIBEIRAO DO SUL;4412;4055.0;1,088
121;PONGAI;3275;3011.0;1,0877
122;LUTECIA;2527;2326.0;1,0864
123;BOTUCATU;155472;143133.0;1,0862
124;GAVIAO PEIXOTO;4695;4332.0;1,0838
125;OCAUCU;4223;3897.0;1,0837
126;SANTO ANTONIO DA ALEGRIA;6807;6286.0;1,0829
127;MARAPOAMA;2967;2743.0;1,0817
128;GABRIEL MONTEIRO;2669;2469.0;1,081
129;PARANAPUA;3977;3680.0;1,0807
130;DUARTINA;12209;11297.0;1,0807
131;CORUMBATAI;3894;3604.0;1,0805
132;PIRACAIA;27471;25426.0;1,0804
133;QUEIROZ;3333;3086.0;1,08
134;RIBEIRAO CORRENTE;4640;4302.0;1,0786
135;ESTRELA D'OESTE;8248;7649.0;1,0783
136;MONGAGUA;60307;55974.0;1,0774
137;RAFARD;8865;8236.0;1,0764
138;ATIBAIA;149979;139428.0;1,0757
139;ITAJOBI;15156;14100.0;1,0749
140;PIRATININGA;13598;12655.0;1,0745
141;CORONEL MACEDO;4495;4185.0;1,0741
142;SANTA ALBERTINA;5891;5493.0;1,0725
143;IACRI;5947;5546.0;1,0723
144;BOM SUCESSO DE ITARARE;3881;3620.0;1,0721
145;CRISTAIS PAULISTA;8420;7855.0;1,0719
146;INDIANA;4597;4290.0;1,0716
147;ARAPEI;2327;2172.0;1,0714
148;FERNANDO PRESTES;5603;5237.0;1,0699
149;BARRA DO TURVO;7302;6826.0;1,0697
150;MORUNGABA;13686;12796.0;1,0696
151;APIAI;23606;22072.0;1,0695
152;BARUERI;289296;271127.0;1,067
153;SANTANA DE PARNAIBA;149170;139835.0;1,0668
154;CESARIO LANGE;17845;16732.0;1,0665
155;ALTINOPOLIS;15769;14786.0;1,0665
156;TUPI PAULISTA;15436;14477.0;1,0662
157;SAO JOAO DAS DUAS PONTES;2447;2297.0;1,0653
158;PONTES GESTAL;2408;2261.0;1,065
159;NUPORANGA;7098;6671.0;1,064
160;BERTIOGA;67192;63172.0;1,0636
161;SALESOPOLIS;16791;15823.0;1,0612
162;ORIENTE;6119;5767.0;1,061
163;AREIAS;3711;3500.0;1,0603
164;MONTE MOR;61747;58294.0;1,0592
165;JOANOPOLIS;13016;12290.0;1,0591
166;BORACEIA;4547;4295.0;1,0587
167;SERRANA;47581;44945.0;1,0586
168;NOVA GUATAPORANGA;2197;2076.0;1,0583
169;SUD MENNUCCI;7264;6864.0;1,0583
170;SANTA CRUZ DA CONCEICAO;4260;4034.0;1,056
171;PALMEIRA D'OESTE;8624;8167.0;1,056
172;CONCHAL;27669;26217.0;1,0554
173;SANTA FE DO SUL;32606;30901.0;1,0552
174;SAO JOSE DO BARREIRO;3933;3730.0;1,0544
175;CANITAR;5005;4747.0;1,0544
176;MANDURI;9486;9008.0;1,0531
177;SILVEIRAS;6049;5749.0;1,0522
178;CAJATI;27882;26518.0;1,0514
179;MIRACATU;18790;17876.0;1,0511
180;LOURDES;2130;2027.0;1,0508
181;PRESIDENTE ALVES;3780;3604.0;1,0488
182;TAQUARAL;2584;2464.0;1,0487
183;GUATAPARA;7332;6993.0;1,0485
184;FLOREAL;2755;2629.0;1,0479
185;FARTURA;15411;14716.0;1,0472
186;OSCAR BRESSANE;2452;2342.0;1,047
187;MIRA ESTRELA;2887;2758.0;1,0468
188;OSASCO;716223;684197.0;1,0468
189;AVAI;5148;4919.0;1,0466
190;SETE BARRAS;12322;11793.0;1,0449
191;DOURADO;8429;8069.0;1,0446
192;SARAPUI;9825;9406.0;1,0445
193;VALENTIM GENTIL;13094;12539.0;1,0443
194;JOAO RAMALHO;4137;3962.0;1,0442
195;AGUDOS;36609;35089.0;1,0433
196;CUNHA;20574;19743.0;1,0421
197;DUMONT;9603;9220.0;1,0415
198;AGUAS DE LINDOIA;17952;17240.0;1,0413
199;PARIQUERA-ACU;19027;18274.0;1,0412
200;BRAGANCA PAULISTA;171895;165139.0;1,0409
201;PAULO DE FARIA;8346;8023.0;1,0403
202;SALTINHO;7888;7587.0;1,0397
203;SAO FRANCISCO;2642;2545.0;1,0381
204;SANTO EXPEDITO;2884;2782.0;1,0367
205;QUINTANA;6390;6166.0;1,0363
206;ITOBI;7333;7081.0;1,0356
207;POLONI;5790;5592.0;1,0354
208;BURI;19344;18687.0;1,0352
209;SALTO;118409;114463.0;1,0345
210;CORDEIROPOLIS;23730;22959.0;1,0336
211;BARRA DO CHAPEU;5336;5166.0;1,0329
212;NOVA ALIANCA;6665;6454.0;1,0327
213;ESPIRITO SANTO DO TURVO;4579;4442.0;1,0308
214;UBATUBA;91799;89174.0;1,0294
215;PRAIA GRANDE;336567;327108.0;1,0289
216;JUQUITIBA;30913;30054.0;1,0286
217;BOREBI;2422;2358.0;1,0271
218;ITUPEVA;62744;61101.0;1,0269
219;PINHALZINHO;14412;14045.0;1,0261
220;TACIBA;5761;5617.0;1,0256
221;PIRAPORA DO BOM JESUS;18501;18047.0;1,0252
222;IPORANGA;3759;3667.0;1,0251
223;MONTEIRO LOBATO;4351;4245.0;1,025
224;TREMEMBE;46953;45812.0;1,0249
225;PIRAJU;28620;27926.0;1,0249
226;PARAIBUNA;16864;16473.0;1,0237
227;FERNANDOPOLIS;67161;65713.0;1,022
228;MONCOES;2035;1992.0;1,0216
229;TURIUBA;1847;1810.0;1,0204
230;SAO LOURENCO DA SERRA;15005;14706.0;1,0203
231;BALSAMO;8559;8389.0;1,0203
232;SEBASTIANOPOLIS DO SUL;3333;3267.0;1,0202
233;PATROCINIO PAULISTA;13982;13707.0;1,0201
234;CAMPOS NOVOS PAULISTA;4572;4483.0;1,0199
235;DIRCE REIS;1674;1642.0;1,0195
236;PLATINA;3172;3112.0;1,0193
237;NAZARE PAULISTA;17512;17183.0;1,0191
238;TAPIRATIBA;11932;11730.0;1,0172
239;MONTE CASTELO;3808;3745.0;1,0168
240;MOCOCA;66672;65698.0;1,0148
241;CARAGUATATUBA;122206;120626.0;1,0131
242;SALES;5930;5854.0;1,013
243;PEDREGULHO;15810;15610.0;1,0128
244;SAO PEDRO;34591;34156.0;1,0127
245;SANTO ANTONIO DE POSSE;22485;22221.0;1,0119
246;SAO PAULO;12430414;12283889.0;1,0119
247;AVARE;88241;87215.0;1,0118
248;OUROESTE;9812;9699.0;1,0117
249;OLIMPIA;53203;52601.0;1,0114
250;LARANJAL PAULISTA;27002;26704.0;1,0112
251;SOROCABA;687101;679564.0;1,0111
252;SABINO;5105;5049.0;1,0111
253;ELIAS FAUSTO;16712;16545.0;1,0101
254;SAO MIGUEL ARCANJO;31441;31143.0;1,0096
255;AREALVA;7882;7807.0;1,0096
256;CHAVANTES;11365;11258.0;1,0095
257;CABREUVA;48492;48045.0;1,0093
258;PORTO FELIZ;51268;50809.0;1,009
259;RANCHARIA;27915;27674.0;1,0087
260;AMERICO DE CAMPOS;5448;5403.0;1,0083
261;NOVA CAMPINA;8811;8743.0;1,0078
262;EMILIANOPOLIS;2889;2867.0;1,0077
263;LOUVEIRA;48518;48166.0;1,0073
264;SANTOS;424262;421267.0;1,0071
265;SERRA AZUL;13906;13814.0;1,0067
266;ALTO ALEGRE;3706;3685.0;1,0057
267;JARDINOPOLIS;42626;42401.0;1,0053
268;IBIUNA;77017;76637.0;1,005
269;ANHEMBI;6161;6133.0;1,0046
270;TANABI;24249;24137.0;1,0046
271;ROSEIRA;9938;9893.0;1,0045
272;COLINA;17202;17126.0;1,0044
273;TARUMA;13952;13894.0;1,0042
274;PARAPUA;9963;9921.0;1,0042
275;RUBIACEA;2825;2816.0;1,0032
276;CARDOSO;11340;11308.0;1,0028
277;ANHUMAS;3760;3750.0;1,0027
278;SALTO GRANDE;8424;8411.0;1,0015
279;ITIRAPUA;5919;5912.0;1,0012
280;AGUAS DA PRATA;7401;7393.0;1,0011
281;ESTIVA GERBI;10365;10355.0;1,001
282;PIEDADE;52663;52623.0;1,0008
283;URUPES;12849;12843.0;1,0005
284;GUARANTA;5944;5945.0;0,9998
285;TUIUTI;6329;6332.0;0,9995
286;JUNQUEIROPOLIS;19220;19236.0;0,9992
287;ITAPORANGA;14007;14020.0;0,9991
288;URANIA;8179;8190.0;0,9987
289;POTIRENDABA;16403;16426.0;0,9986
290;VOTUPORANGA;90943;91068.0;0,9986
291;CAPAO BONITO;44799;44898.0;0,9978
292;SAO JOSE DO RIO PRETO;456653;457682.0;0,9978
293;SAO JOAO DA BOA VISTA;87691;88003.0;0,9965
294;ITAPEVA;89581;89902.0;0,9964
295;PORANGABA;9069;9110.0;0,9955
296;BURITAMA;15983;16058.0;0,9953
297;CACONDE;17291;17375.0;0,9952
298;UCHOA;9264;9309.0;0,9952
299;PILAR DO SUL;27495;27641.0;0,9947
300;BARRETOS;117462;118100.0;0,9946
301;PEDRINHAS PAULISTA;2778;2793.0;0,9946
302;ILHA SOLTEIRA;24753;24896.0;0,9943
303;JUNDIAI;409069;411461.0;0,9942
304;DOBRADA;8127;8175.0;0,9941
305;BRAUNA;4996;5027.0;0,9938
306;SAO PEDRO DO TURVO;6924;6968.0;0,9937
307;ITAPEVI;236206;237841.0;0,9931
308;BREJO ALEGRE;2521;2539.0;0,9929
309;RIBEIRAO DOS INDIOS;2029;2044.0;0,9927
310;TEODORO SAMPAIO;21770;21933.0;0,9926
311;ITU;168428;169761.0;0,9921
312;IEPE;7351;7415.0;0,9914
313;ADAMANTINA;32374;32659.0;0,9913
314;JALES;45524;45948.0;0,9908
315;ITAPUI;12575;12694.0;0,9906
316;CATIGUA;6954;7023.0;0,9902
317;MIRASSOL;56631;57225.0;0,9896
318;ANDRADINA;53299;53863.0;0,9895
319;BRODOWSKI;23412;23674.0;0,9889
320;ITAI;25760;26063.0;0,9884
321;REGENTE FEIJO;18720;18953.0;0,9877
322;VARGEM;9626;9748.0;0,9875
323;SAO JOSE DO RIO PARDO;51594;52261.0;0,9872
324;MONTE AZUL PAULISTA;17071;17299.0;0,9868
325;CACAPAVA;90311;91568.0;0,9863
326;ALAMBARI;5454;5531.0;0,9861
327;CASA BRANCA;28130;28535.0;0,9858
328;MONTE ALEGRE DO SUL;7322;7430.0;0,9855
329;RESTINGA;6883;6986.0;0,9853
330;DESCALVADO;31040;31509.0;0,9851
331;SAO CARLOS;243351;247141.0;0,9847
332;ARAMINA;5068;5148.0;0,9845
333;GUAPIACU;20088;20407.0;0,9844
334;PIQUETE;12094;12289.0;0,9841
335;JAGUARIUNA;55985;56921.0;0,9836
336;FRANCO DA ROCHA;150361;152911.0;0,9833
337;VERA CRUZ;9479;9641.0;0,9832
338;MARTINOPOLIS;24369;24786.0;0,9832
339;MOGI MIRIM;88311;89842.0;0,983
340;GUAIMBE;5146;5237.0;0,9826
341;GARCA;39966;40696.0;0,9821
342;PARANAPANEMA;18680;19024.0;0,9819
343;ALVINLANDIA;2860;2914.0;0,9815
344;TARABAI;6617;6744.0;0,9812
345;ALVARES MACHADO;22776;23219.0;0,9809
346;ARARAQUARA;228285;232753.0;0,9808
347;PEREIRA BARRETO;23268;23740.0;0,9801
348;SUZANO;288682;294836.0;0,9791
349;CARAPICUIBA;386731;395132.0;0,9787
350;NIPOA;4664;4768.0;0,9782
351;SAO SEBASTIAO;85568;87472.0;0,9782
352;IRAPURU;7435;7613.0;0,9766
353;JUQUIA;16715;17115.0;0,9766
354;SANTA CRUZ DO RIO PARDO;44229;45322.0;0,9759
355;MACAUBAL;7130;7307.0;0,9758
356;BEBEDOURO;71476;73248.0;0,9758
357;SAO CAETANO DO SUL;152263;156102.0;0,9754
358;GUAIRA;37782;38741.0;0,9752
359;AMPARO;67601;69341.0;0,9749
360;TORRINHA;8968;9204.0;0,9744
361;BURITIZAL;3926;4030.0;0,9742
362;SANTA MARIA DA SERRA;5437;5584.0;0,9737
363;ITAJU;3433;3527.0;0,9733
364;TUPA;60108;61774.0;0,973
365;PALMITAL;20128;20688.0;0,9729
366;JULIO MESQUITA;4198;4315.0;0,9729
367;ZACARIAS;2423;2491.0;0,9727
368;MATAO;77954;80138.0;0,9727
369;UNIAO PAULISTA;1632;1678.0;0,9726
370;JOSE BONIFACIO;33789;34743.0;0,9725
371;TATUI;114844;118090.0;0,9725
372;NOVA CASTILHO;1053;1083.0;0,9723
373;ARACATUBA;185973;191344.0;0,9719
374;TAIACU;5606;5771.0;0,9714
375;GUAICARA;10895;11218.0;0,9712
376;GENERAL SALGADO;9570;9854.0;0,9712
377;MARACAI;12323;12698.0;0,9705
378;MARINOPOLIS;1830;1886.0;0,9703
379;SANTO ANTONIO DO ARACANGUA;7523;7754.0;0,9702
380;IGUAPE;28091;28959.0;0,97
381;BAURU;358607;369745.0;0,9699
382;PEREIRAS;7820;8065.0;0,9696
383;CAIABU;3579;3692.0;0,9694
384;CAMPOS DO JORDAO;48197;49728.0;0,9692
385;GETULINA;10110;10435.0;0,9689
386;ITATINGA;18820;19426.0;0,9688
387;VARGEM GRANDE DO SUL;39180;40458.0;0,9684
388;PIRACICABA;383002;395755.0;0,9678
389;ARACARIGUAMA;20946;21652.0;0,9674
390;CRAVINHOS;32564;33666.0;0,9673
391;SALTO DE PIRAPORA;41903;43329.0;0,9671
392;SOCORRO;37677;38964.0;0,967
393;REGINOPOLIS;8983;9291.0;0,9668
394;IBIRA;11197;11589.0;0,9662
395;INDAIATUBA;243472;252021.0;0,9661
396;GLICERIO;4149;4295.0;0,966
397;VIRADOURO;16995;17601.0;0,9656
398;SERTAOZINHO;118876;123150.0;0,9653
399;PIRANGI;10135;10503.0;0,965
400;ITAPIRA;68482;71017.0;0,9643
401;BROTAS;22395;23231.0;0,964
402;BARRA BONITA;32503;33742.0;0,9633
403;FRANCISCO MORATO;167222;173607.0;0,9632
404;ICEM;7215;7491.0;0,9632
405;PEDRO DE TOLEDO;9833;10211.0;0,963
406;BILAC;7022;7296.0;0,9624
407;SERRA NEGRA;26876;27930.0;0,9623
408;OSVALDO CRUZ;29500;30657.0;0,9623
409;QUATA;12555;13055.0;0,9617
410;CAFELANDIA;15843;16487.0;0,9609
411;SALMOURAO;4606;4794.0;0,9608
412;IARAS;8445;8792.0;0,9605
413;RIO CLARO;193813;201799.0;0,9604
414;RIOLANDIA;10990;11453.0;0,9596
415;IACANGA;10389;10834.0;0,9589
416;MIRANDOPOLIS;26690;27837.0;0,9588
417;PRESIDENTE PRUDENTE;214812;224053.0;0,9588
418;SALES OLIVEIRA;10545;11002.0;0,9585
419;SANTA RITA DO PASSA QUATRO;24666;25734.0;0,9585
420;PIQUEROBI;3174;3312.0;0,9583
421;EMBAUBA;2114;2207.0;0,9579
422;HERCULANDIA;8040;8394.0;0,9578
423;ITIRAPINA;16340;17065.0;0,9575
424;CHARQUEADA;15505;16195.0;0,9574
425;VARGEM GRANDE PAULISTA;48850;51076.0;0,9564
426;TABAPUA;10841;11340.0;0,956
427;BANANAL;9646;10094.0;0,9556
428;LUPERCIO;3963;4149.0;0,9552
429;ANGATUBA;22683;23752.0;0,955
430;COTIA;238714;250131.0;0,9544
431;GUARUJA;303255;317850.0;0,9541
432;IBITINGA;55065;57772.0;0,9531
433;SAO SIMAO;13389;14058.0;0,9524
434;MARILIA;222869;234130.0;0,9519
435;CONCHAS;15812;16611.0;0,9519
436;POA;109152;114677.0;0,9518
437;BOITUVA;56553;59450.0;0,9513
438;MOGI GUACU;139982;147186.0;0,9511
439;GUARIBA;35975;37884.0;0,9496
440;PIACATU;5179;5455.0;0,9494
441;IGARACU DO TIETE;21632;22796.0;0,9489
442;CRUZEIRO;74586;78617.0;0,9487
443;SAO ROQUE;84413;89039.0;0,948
444;JACAREI;216505;228416.0;0,9479
445;BARRINHA;29506;31135.0;0,9477
446;HORTOLANDIA;217372;229383.0;0,9476
447;ITAPETININGA;150666;158992.0;0,9476
448;APARECIDA;32128;33903.0;0,9476
449;CANDIDO MOTA;27515;29037.0;0,9476
450;DRACENA;42153;44508.0;0,9471
451;ARACOIABA DA SERRA;31192;32945.0;0,9468
452;DIADEMA;396577;419063.0;0,9463
453;SANTA ISABEL;52896;55905.0;0,9462
454;CAJURU;23303;24646.0;0,9455
455;IBATE;31827;33664.0;0,9454
456;LUCELIA;19072;20184.0;0,9449
457;SUMARE;265483;281034.0;0,9447
458;MONTE ALTO;44984;47649.0;0,9441
459;GUARATINGUETA;110701;117295.0;0,9438
460;BATATAIS;56934;60339.0;0,9436
461;BOM JESUS DOS PERDOES;23218;24624.0;0,9429
462;SANTA BRANCA;12906;13695.0;0,9424
463;GUARACAI;7054;7491.0;0,9417
464;LINS;70575;74945.0;0,9417
465;LAVRINHAS;6201;6590.0;0,941
466;ESPIRITO SANTO DO PINHAL;39507;41989.0;0,9409
467;GUARA;18081;19237.0;0,9399
468;INUBIA PAULISTA;3406;3624.0;0,9398
469;PENAPOLIS;56404;60030.0;0,9396
470;ALUMINIO;16453;17523.0;0,9389
471;ARARAS;122973;130982.0;0,9389
472;EMBU DAS ARTES;251479;267876.0;0,9388
473;PANORAMA;13607;14506.0;0,938
474;RINOPOLIS;8543;9111.0;0,9377
475;BORBOREMA;13825;14757.0;0,9368
476;PAULINIA;100816;107619.0;0,9368
477;TAQUARITINGA;50475;53923.0;0,9361
478;AGUAI;32371;34607.0;0,9354
479;FRANCA;323265;345682.0;0,9352
480;MACATUBA;14962;16002.0;0,935
481;LENCOIS PAULISTA;61489;65770.0;0,9349
482;EMBU-GUACU;63073;67497.0;0,9345
483;ENGENHEIRO COELHO;18675;19983.0;0,9345
484;LORENA;79357;84938.0;0,9343
485;GUARACI;9749;10437.0;0,9341
486;PORTO FERREIRA;50358;53918.0;0,934
487;PEDREIRA;42665;45679.0;0,934
488;SAO JOSE DOS CAMPOS;669626;717131.0;0,9338
489;PIRASSUNUNGA;68203;73126.0;0,9327
490;TAGUAI;12348;13239.0;0,9327
491;ARUJA;81891;87846.0;0,9322
492;CASTILHO;18619;19976.0;0,9321
493;SANDOVALINA;3609;3873.0;0,9318
494;SAO BERNARDO DO CAMPO;772904;829602.0;0,9317
495;ANALANDIA;4257;4570.0;0,9315
496;VINHEDO;72356;77739.0;0,9308
497;LEME;93104;100052.0;0,9306
498;JABORANDI;5796;6229.0;0,9305
499;SANTO ANDRE;668660;719366.0;0,9295
500;MOTUCA;4005;4309.0;0,9294
501;TAMBAU;20062;21600.0;0,9288
502;BIRITIBA MIRIM;28755;30962.0;0,9287
503;ASSIS;92853;100084.0;0,9278
504;POMPEIA;19358;20894.0;0,9265
505;SANTA ROSA DE VITERBO;23148;24988.0;0,9264
506;GUARARAPES;28908;31207.0;0,9263
507;CAMPINAS;1104867;1193088.0;0,9261
508;PARAGUACU PAULISTA;39622;42810.0;0,9255
509;PONTALINDA;3841;4153.0;0,9249
510;ITATIBA;109447;118354.0;0,9247
511;TAUBATE;286553;310016.0;0,9243
512;JABOTICABAL;68528;74141.0;0,9243
513;MOGI DAS CRUZES;408859;442752.0;0,9234
514;ITAQUAQUECETUBA;342331;370869.0;0,9231
515;COROADOS;5081;5505.0;0,923
516;BENTO DE ABREU;2454;2659.0;0,9229
517;RIBEIRAO BONITO;11155;12089.0;0,9227
518;RINCAO;8982;9738.0;0,9224
519;PIRAPOZINHO;23815;25833.0;0,9219
520;NOVA GRANADA;18649;20234.0;0,9217
521;CERQUILHO;43287;46970.0;0,9216
522;PRESIDENTE VENCESLAU;34054;36958.0;0,9214
523;CATANDUVA;107802;117024.0;0,9212
524;EUCLIDES DA CUNHA PAULISTA;7669;8326.0;0,9211
525;BOA ESPERANCA DO SUL;12731;13826.0;0,9208
526;UBARANA;5365;5835.0;0,9195
527;SUZANAPOLIS;3328;3622.0;0,9188
528;VALPARAISO;23006;25039.0;0,9188
529;IPAUSSU;12586;13705.0;0,9184
530;SAO SEBASTIAO DA GRAMA;10162;11066.0;0,9183
531;NHANDEARA;9583;10437.0;0,9182
532;CAJOBI;8840;9630.0;0,918
533;BOCAINA;10404;11337.0;0,9177
534;OURO VERDE;7158;7802.0;0,9175
535;SANTA ADELIA;13172;14366.0;0,9169
536;RIBEIRAO PRETO;640124;698486.0;0,9164
537;LAVINIA;10694;11675.0;0,916
538;SANTO ANASTACIO;17353;18944.0;0,916
539;NOVO HORIZONTE;36079;39405.0;0,9156
540;MIRANTE DO PARANAPANEMA;15485;16917.0;0,9154
541;NOVA ODESSA;53591;58553.0;0,9153
542;AMERICANA;216010;236055.0;0,9151
543;BARBOSA;6138;6715.0;0,9141
544;PINDAMONHANGABA;151874;166160.0;0,914
545;TABOAO DA SERRA;263636;288591.0;0,9135
546;JAMBEIRO;5564;6093.0;0,9132
547;VALINHOS;116131;127169.0;0,9132
548;NANTES;2636;2887.0;0,9131
549;PEDERNEIRAS;41441;45388.0;0,913
550;BOFETE;10201;11184.0;0,9121
551;PLANALTO;4340;4760.0;0,9118
552;ELISIARIO;2978;3266.0;0,9118
553;RIBEIRAO PIRES;109482;120136.0;0,9113
554;CAMPO LIMPO PAULISTA;74432;81755.0;0,9104
555;ITAPOLIS;37221;40907.0;0,9099
556;MIGUELOPOLIS;18991;20874.0;0,9098
557;ORINDIUVA;5965;6561.0;0,9092
558;JACUPIRANGA;15016;16527.0;0,9086
559;ARTUR NOGUEIRA;47929;52789.0;0,9079
560;ITUVERAVA;35339;38926.0;0,9079
561;SAO JOAQUIM DA BARRA;44902;49469.0;0,9077
562;IRAPUA;6626;7302.0;0,9074
563;LIMEIRA;271647;299380.0;0,9074
564;MINEIROS DO TIETE;10850;11966.0;0,9067
565;AREIOPOLIS;9136;10077.0;0,9066
566;ALTAIR;3379;3730.0;0,9059
567;TIETE;35840;39604.0;0,905
568;OURINHOS;98740;109114.0;0,9049
569;GUARULHOS;1249009;1380583.0;0,9047
